Date,Close,High,Low,Open,Volume,MA7,Lag1,Lag2,Volatility,Target
2025-07-14,1546.623046875,1567.7988696310574,1536.2813659941348,1567.7988696310574,9173426,1592.9143240792412,1570.85205078125,1591.43701171875,0.010898866063922074,1561.6922607421875
2025-07-15,1561.6922607421875,1579.4208563061295,1540.4179701114037,1541.5013602388092,7614807,1585.161586216518,1546.623046875,1570.85205078125,0.009898661026891725,1583.6561279296875
2025-07-16,1583.6561279296875,1587.6942841349517,1554.6993967165145,1555.1918577227598,6223491,1582.474155970982,1561.6922607421875,1546.623046875,0.011976031866256436,1559.6240234375
2025-07-17,1559.6240234375,1585.7244570472844,1556.2752645133157,1573.9053927711557,7374814,1574.7073625837054,1583.6561279296875,1561.6922607421875,0.012213471949124269,1562.1846923828125
2025-07-18,1562.1846923828125,1575.1857343566385,1556.176692489401,1568.0942241264431,5161833,1568.0098876953125,1559.6240234375,1583.6561279296875,0.012453154058832116,1560.4119873046875
2025-07-21,1560.4119873046875,1565.041072656143,1543.1758521432762,1556.1767745731315,3682661,1563.5777413504463,1562.1846923828125,1559.6240234375,0.012106759247536947,1547.2139892578125
2025-07-22,1547.2139892578125,1561.889351060241,1541.4029254290974,1541.4029254290974,8473741,1560.2008754185267,1560.4119873046875,1562.1846923828125,0.011585841922813587,1550.7596435546875
2025-07-23,1550.7596435546875,1567.897309898412,1526.629055261839,1552.5325511946266,8035026,1560.7918178013392,1547.2139892578125,1560.4119873046875,0.010021023107878366,1529.0914306640625
2025-07-24,1529.0914306640625,1558.1466301517212,1524.8562179010848,1556.1767861186595,14169664,1556.134556361607,1550.7596435546875,1547.2139892578125,0.01034910925660319,1492.84619140625
2025-07-25,1492.84619140625,1526.1366022975346,1488.512630894258,1520.12860228797,10851259,1543.1617082868304,1529.0914306640625,1550.7596435546875,0.009824175729695631,1493.1417236328125
2025-07-28,1493.1417236328125,1496.392014262957,1460.14683725966,1491.0734115180542,6439855,1533.6642368861608,1492.84619140625,1529.0914306640625,0.009764545746785399,1490.8763427734375
2025-07-29,1490.8763427734375,1494.3235696797126,1473.5417400906863,1490.0884773327002,7070448,1523.477329799107,1493.1417236328125,1492.84619140625,0.00941030699574454,1496.0965576171875
2025-07-30,1496.0965576171875,1498.7557989957106,1483.2925712781332,1496.9830114866083,5719051,1514.2894112723213,1490.8763427734375,1493.1417236328125,0.010004591508535542,1486.247314453125
2025-07-31,1486.247314453125,1504.0743788045277,1474.428250322285,1486.936711768862,6851407,1505.5798863002233,1496.0965576171875,1490.8763427734375,0.009951261073681222,1447.4412841796875
2025-08-01,1447.4412841796875,1476.1024890867666,1443.4031282013243,1471.3749358302919,8702978,1490.8201206752233,1486.247314453125,1496.0965576171875,0.011779643194491754,1458.177001953125
2025-08-04,1458.177001953125,1460.4423706154291,1429.1218033326475,1439.4634841975633,8610216,1480.689488002232,1447.4412841796875,1486.247314453125,0.013188978709534397,1438.2816162109375
2025-08-05,1438.2816162109375,1456.4040844682859,1433.0614816224124,1456.4040844682859,10213323,1472.8945486886162,1458.177001953125,1447.4412841796875,0.011460333533673884,1415.037353515625
2025-08-06,1415.037353515625,1434.14486387826,1408.7339490588547,1430.1067078263497,10566934,1461.736781529018,1438.2816162109375,1458.177001953125,0.011826749335057953,1415.234375
2025-08-07,1415.234375,1420.2574529025999,1392.876574581379,1408.4383894942564,9892020,1450.9307861328125,1415.037353515625,1438.2816162109375,0.011983923799760089,1401.6424560546875
2025-08-08,1401.6424560546875,1411.590144080286,1395.7329241309972,1403.5138318764698,10048009,1437.4373430524554,1415.234375,1415.037353515625,0.010988718935453336,1406.66552734375
2025-08-11,1406.66552734375,1411.7871937906966,1392.6796832838538,1398.4907470266712,6625368,1426.0685163225446,1401.6424560546875,1415.234375,0.012019051641408795,1402.62744140625
2025-08-12,1402.62744140625,1419.2726477892124,1399.5742071536924,1406.6655976905836,9899184,1419.666538783482,1406.66552734375,1401.6424560546875,0.008917832900231994,1405.0897216796875
2025-08-13,1405.0897216796875,1412.3781686321047,1400.953097311154,1403.5138705026145,10318063,1412.0826416015625,1402.62744140625,1406.66552734375,0.00785584003981108,1425.8714599609375
2025-08-14,1425.8714599609375,1447.835267553816,1404.6956380205245,1404.6956380205245,12902347,1410.3097621372767,1405.0897216796875,1402.62744140625,0.00988565194318462,1414.1510009765625
2025-08-18,1414.1510009765625,1442.6151494914589,1408.0444126749926,1442.6151494914589,7254561,1410.183140345982,1425.8714599609375,1405.0897216796875,0.008192635897474553,1418.2877197265625
2025-08-19,1418.2877197265625,1427.5460108318366,1411.0977408332749,1411.0977408332749,3986094,1410.6193324497767,1414.1510009765625,1425.8714599609375,0.008271269544312013,1473.6402587890625
2025-08-20,1473.6402587890625,1476.3980885005715,1418.9770874002822,1418.9770874002822,10413061,1420.9047328404017,1418.2877197265625,1414.1510009765625,0.015656476663451213,1473.8372802734375
2025-08-21,1473.8372802734375,1485.262351237006,1461.9197483180794,1485.262351237006,6565539,1430.500697544643,1473.6402587890625,1418.2877197265625,0.01584555518221963,1465.0714111328125
2025-08-22,1465.0714111328125,1481.6181481033814,1463.6924963469764,1475.5115598317454,5543397,1439.4212646484375,1473.8372802734375,1473.6402587890625,0.0161970505055604,1508.9989013671875
2025-08-25,1508.9989013671875,1515.7948868943363,1483.981859694785,1483.981859694785,10694531,1454.2654331752233,1465.0714111328125,1473.8372802734375,0.01824616113279401,1506.53662109375
2025-08-26,1506.53662109375,1515.2039825206518,1495.7024794249892,1500.03616013844,15994798,1465.789027622768,1508.9989013671875,1465.0714111328125,0.018636844973577548,1477.4814453125
2025-08-28,1477.4814453125,1506.5366438633127,1475.413133190423,1506.5366438633127,5443364,1474.8362339564733,1506.53662109375,1508.9989013671875,0.020610673102849825,1447.4412841796875
2025-08-29,1447.4412841796875,1479.254311487481,1445.5699084151588,1479.254311487481,8169075,1479.0010288783483,1477.4814453125,1506.53662109375,0.023009928621051893,1476.7921142578125
